"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"07-18-25 / 10:53 PM","Field All-Star","130","C","2","40"
"07-18-25 / 10:53 PM","Lower View All-Star","427","B","0","23"
"07-18-25 / 10:22 PM","Field All-Star","128","B","4","64"
"07-18-25 / 10:20 PM","Field Reserved","134","P","2","14"
"07-18-25 / 07:36 PM","Field Box","133","B","2","31"
"07-18-25 / 06:36 PM","Right Field Hall of Fame","236","C","4","29"
"07-18-25 / 03:41 PM","Field Reserved","134","R","5","14"
"07-18-25 / 02:48 PM","Field Hall of Fame","111","D","1","111"
"07-18-25 / 02:41 PM","Lower View All-Star","408","G","4","15"
"07-18-25 / 12:45 PM","Field Hall of Fame","113","H","0","107"
"07-18-25 / 03:05 AM","Lower View All-Star","410","B","2","27"
"07-18-25 / 01:45 AM","Right Field Hall of Fame","238","C","2","40"
"07-18-25 / 12:53 AM","Field All-Star Front Row","108","A","0","101"
"07-18-25 / 12:06 AM","Field Box","105","X","2","24"
"07-17-25 / 09:53 PM","Field MVP","112","T","2","75"
"07-17-25 / 09:19 PM","Terrace Box","204","F","4","20"
"07-17-25 / 07:48 PM","View All-Star","533","A","5","11"
"07-17-25 / 03:50 PM","Field All-Star","106","B","0","97"
"07-17-25 / 02:54 PM","Field All-Star Front Row","106","A","2","79"
"07-17-25 / 02:38 PM","Field Box","105","R","2","30"
"07-17-25 / 02:18 PM","Terrace MVP","221","C","2","58"
"07-17-25 / 01:44 PM","Right Field Hall of Fame","239","F","2","23"
"07-17-25 / 01:17 PM","Right Field MVP","237","R","0","16"
"07-17-25 / 01:10 PM","View MVP","519","A","1","28"
"07-17-25 / 12:26 PM","Field Box","103","E","7","24"
"07-17-25 / 11:29 AM","Right Field MVP","236","W","2","14"
"07-17-25 / 09:55 AM","Upper View","506","F","2","11"
"07-17-25 / 08:13 AM","Field MVP","127","Z","2","50"
"07-17-25 / 02:39 AM","Lexus Diamond Club","116","L","2","143"
"07-17-25 / 02:02 AM","Field MVP","127","Y","2","50"
"07-17-25 / 01:34 AM","Field All-Star","129","Z","2","38"
