"Date/Time (EDT)","Zone","Section","Row","Qty","Price"
"06-10-25 / 06:04 PM","Center Field Bleachers","192","2","0","30"
"06-10-25 / 05:12 PM","Upper","346","19","7","23"
"06-10-25 / 04:54 PM","Lower Box","124","30","5","94"
"06-10-25 / 04:29 PM","Upper","345","1","2","37"
"06-10-25 / 04:06 PM","Upper","329","11","2","34"
"06-10-25 / 03:52 PM","Lower Box","134","14","1","109"
"06-10-25 / 03:34 PM","Lower Box","132","31","4","73"
"06-10-25 / 03:30 PM","Terrace Club","241","4","7","90"
"06-10-25 / 02:08 PM","Upper","337","12","0","69"
"06-10-25 / 02:01 PM","Lower Outfield","105","33","5","44"
"06-10-25 / 01:25 PM","Upper","335","19","0","24"
"06-10-25 / 01:25 PM","Upper","328","23","6","27"
"06-10-25 / 01:06 PM","Upper","328","23","2","27"
"06-10-25 / 01:01 PM","Field","115","39","0","117"
"06-10-25 / 12:36 PM","Field","117","24","2","54"
"06-10-25 / 01:49 AM","Field","115","28","2","43"
"06-10-25 / 01:36 AM","Upper","313","2","2","34"
"06-10-25 / 01:13 AM","Upper","326","14","2","34"
"06-10-25 / 12:40 AM","Field","115","33","3","41"
"06-10-25 / 12:34 AM","Upper","328","3","0","36"
"06-10-25 / 12:22 AM","Lower Box","122","20","0","106"
"06-10-25 / 12:17 AM","Left Field Bleachers","181","5","6","28"
"06-09-25 / 11:54 PM","Press Club","PL5","1","0","495"
"06-09-25 / 11:00 PM","Left Field Bleachers","181","4","7","31"
"06-09-25 / 10:50 PM","Lower Box","123","23","2","86"
"06-09-25 / 10:17 PM","Lower Outfield","107","27","6","49"
"06-09-25 / 09:30 PM","Upper","310","1","6","32"
"06-09-25 / 09:29 PM","Lower Box","123","12","0","111"
"06-09-25 / 09:08 PM","Lower Box","128","32","4","74"
"06-09-25 / 09:07 PM","Upper","335","19","0","19"
"06-09-25 / 09:07 PM","Upper","306","1","5","25"
"06-09-25 / 07:06 PM","Left Field Bleachers","182","7","6","34"
"06-09-25 / 07:04 PM","Left Field Bleachers","180","3","6","28"
"06-09-25 / 05:45 PM","Field","115","31","2","45"
"06-09-25 / 05:25 PM","Field","115","32","2","45"
"06-09-25 / 05:17 PM","Upper","320","3","4","41"
"06-09-25 / 04:33 PM","Lower Box","136","26","6","76"
"06-09-25 / 04:04 PM","Field","111","32","2","42"
"06-09-25 / 04:01 PM","Lower Outfield","107","23","2","58"
"06-09-25 / 03:13 PM","Upper","325","4","2","44"
"06-09-25 / 03:00 PM","Field","144","5","5","80"
"06-09-25 / 02:08 PM","Upper","321","9","2","30"
"06-09-25 / 02:06 PM","Lower Box","123","8","2","132"
"06-09-25 / 01:36 PM","Lower Outfield","107","26","2","46"
"06-09-25 / 01:11 PM","Tables","223TB1","TB1","2","182"
"06-09-25 / 12:26 PM","Upper","309","2","2","23"
"06-09-25 / 12:23 PM","Lower Box","123","23","4","81"
"06-09-25 / 11:56 AM","Upper","344","1","6","37"
"06-09-25 / 11:06 AM","Lower Box","122","31","4","87"
"06-09-25 / 01:10 AM","Terrace Club","217","7","9","71"
"06-09-25 / 12:36 AM","Left Field Bleachers","183","6","6","28"
"06-09-25 / 12:32 AM","Field","144","24","2","52"
"06-08-25 / 10:49 PM","Lower Box","140","31","6","86"
"06-08-25 / 09:35 PM","Upper","331","1","2","53"
"06-08-25 / 08:49 PM","Lower Box","136","19","2","96"
"06-08-25 / 08:25 PM","Upper","318","24","4","31"
"06-08-25 / 07:36 PM","Lower Box","129","13","0","140"
"06-08-25 / 07:17 PM","Upper","331","23","5","31"
"06-08-25 / 06:16 PM","Field","115","31","2","45"
"06-08-25 / 05:35 PM","Upper","345","10","6","25"
"06-08-25 / 04:56 PM","Left Field Bleachers","183","6","8","28"
"06-08-25 / 04:20 PM","Lower Box","127","11","2","105"
"06-08-25 / 03:33 PM","Lower Box","136","31","5","89"
"06-08-25 / 03:26 PM","Field","115","32","2","38"
"06-08-25 / 02:16 PM","Lower Box","124","36","4","72"
"06-08-25 / 01:53 PM","Field","144","24","5","47"
"06-08-25 / 01:51 PM","Upper","327","5","4","54"
"06-08-25 / 01:45 PM","Left Field Bleachers","183","1","2","34"
"06-08-25 / 01:23 PM","Field","144","21","2","57"
"06-08-25 / 01:20 PM","Upper","333","9","2","30"
"06-08-25 / 11:07 AM","Field","115","28","2","38"
"06-08-25 / 09:44 AM","Lower Box","137","10","2","73"
"06-08-25 / 07:34 AM","Upper","316","2","8","32"
"06-08-25 / 12:30 AM","Upper","340","10","2","26"
"06-07-25 / 10:54 PM","Upper","329","9","2","38"
"06-07-25 / 10:28 PM","Lower Box","139","7","0","78"
"06-07-25 / 10:05 PM","Terrace Club","238","1","0","102"
"06-07-25 / 09:23 PM","Terrace Club","221","1","0","105"
"06-07-25 / 09:07 PM","Lower Box","120","19","6","79"
"06-07-25 / 08:05 PM","Upper","321","9","2","32"
"06-07-25 / 08:01 PM","Field","115","29","2","49"
"06-07-25 / 07:50 PM","Upper","344","1","11","39"
"06-07-25 / 06:51 PM","Lower Box","141","1","2","172"
"06-07-25 / 04:59 PM","Upper","344","9","6","25"
"06-07-25 / 04:42 PM","Upper","344","9","4","25"
"06-07-25 / 04:32 PM","Left Field Bleachers","187","1","2","36"
"06-07-25 / 04:14 PM","Upper","337","12","8","27"
"06-07-25 / 02:38 PM","Field","118","29","2","59"
"06-07-25 / 02:17 PM","Left Field Bleachers","180","6","8","32"
"06-07-25 / 01:38 PM","Upper","335","1","2","57"
"06-07-25 / 12:59 PM","Lower Box","136","26","7","76"
"06-07-25 / 11:34 AM","Lower Box","125","11","0","101"
"06-07-25 / 02:02 AM","Upper","307","2","2","24"
"06-07-25 / 01:51 AM","Lower Box","139","21","8","83"
"06-07-25 / 01:23 AM","Terrace Club","238","10","6","81"
"06-06-25 / 11:58 PM","Upper","326","24","5","31"
"06-06-25 / 11:24 PM","Terrace Club","214","3","4","74"
"06-06-25 / 09:48 PM","Upper","326","24","5","28"
"06-06-25 / 09:46 PM","Field","148","40","4","41"
"06-06-25 / 08:06 PM","Lower Box","132","14","0","101"
"06-06-25 / 07:42 PM","Upper","310","1","8","28"
"06-06-25 / 07:23 PM","Terrace Club","216","8","6","59"
"06-06-25 / 06:19 PM","Left Field Bleachers","186","3","8","36"
"06-06-25 / 06:11 PM","Terrace Club","234","5","4","91"
"06-06-25 / 04:19 PM","Lower Box","139","13","0","59"
"06-06-25 / 04:00 PM","Field","110","39","2","48"
"06-06-25 / 03:54 PM","Terrace Club","241","1","0","78"
"06-06-25 / 03:02 PM","Field","110","32","0","386"
"06-06-25 / 02:32 PM","Field","118","13","5","67"
"06-06-25 / 01:32 PM","Field","110","39","2","48"
"06-06-25 / 02:45 AM","Terrace Club","217","7","11","102"
"06-06-25 / 02:13 AM","Upper","328","11","2","25"
"06-06-25 / 12:15 AM","Upper","328","23","7","29"
"06-06-25 / 12:01 AM","Field","142","8","0","51"
"06-05-25 / 11:34 PM","Upper","340","3","10","46"
"06-05-25 / 10:24 PM","Field","144","21","4","57"
"06-05-25 / 09:57 PM","Left Field Bleachers","181","2","2","30"
"06-05-25 / 07:35 PM","Upper","342","2","5","38"
"06-05-25 / 06:10 PM","Upper","342","3","7","31"
"06-05-25 / 05:35 PM","Upper","327","6","6","33"
"06-05-25 / 05:00 PM","Field","115","30","2","45"
"06-05-25 / 04:10 PM","Upper","323","11","4","28"
"06-05-25 / 04:00 PM","Field","111","32","4","49"
"06-04-25 / 10:32 PM","Terrace Club","223","1","0","110"
"06-04-25 / 10:28 PM","Field","142","39","6","51"
"06-04-25 / 09:32 PM","Field","144","40","5","47"
"06-04-25 / 09:13 PM","Lower Box","125","34","7","85"
"06-04-25 / 08:28 PM","Lower Outfield","109","23","0","51"
"06-04-25 / 12:00 PM","Field","114","2","0","78"
"06-04-25 / 01:51 AM","Upper","327","25","2","31"
"06-04-25 / 01:15 AM","Field","111","32","9","47"
"06-04-25 / 12:45 AM","Upper","342","10","5","27"
"06-04-25 / 12:42 AM","Lower Box","125","9","2","160"
"06-04-25 / 12:38 AM","Left Field Bleachers","187","3","8","25"
"06-03-25 / 11:17 PM","Field","146","40","2","40"
"06-03-25 / 10:33 PM","Upper","312","1","5","37"
"06-03-25 / 10:33 PM","Upper","328","3","0","44"
"06-03-25 / 10:28 PM","Left Field Bleachers","184","6","9","27"
"06-03-25 / 09:46 PM","Upper","315","2","2","32"
"06-03-25 / 04:59 PM","Lower Box","120","7","0","83"
"06-03-25 / 04:47 PM","Lower Box","119","15","4","91"
"06-03-25 / 03:23 PM","Left Field Bleachers","187","1","4","35"
"06-03-25 / 02:56 PM","Lower Box","135","35","4","65"
"06-03-25 / 02:23 PM","Upper","331","10","5","30"
"06-03-25 / 11:09 AM","Field","150","40","5","38"
"06-03-25 / 10:47 AM","Lower Box","120","13","2","102"
"06-03-25 / 07:01 AM","Upper","331","23","7","31"
"06-03-25 / 01:43 AM","Field","148","10","2","49"
"06-03-25 / 01:16 AM","Lower Box","133","36","5","69"
"06-03-25 / 01:09 AM","Left Field Bleachers","183","2","2","33"
"06-02-25 / 11:37 PM","Field","117","20","2","51"
"06-02-25 / 11:35 PM","Upper","321","14","4","27"
"06-02-25 / 10:55 PM","Upper","328","23","10","29"
"06-02-25 / 10:45 PM","Lower Box","127","9","0","121"
"06-02-25 / 10:31 PM","Terrace Club","217","6","7","81"
"06-02-25 / 09:52 PM","Lower Box","139","10","2","105"
"06-02-25 / 09:34 PM","Lower Box","135","32","0","64"
"06-02-25 / 08:06 PM","Field","115","11","1","61"
"06-02-25 / 07:42 PM","Lower Box","132","11","2","100"
"06-02-25 / 07:14 PM","Lower Box","138","8","2","132"
"06-02-25 / 03:56 PM","Upper","329","11","5","25"
"06-02-25 / 03:43 PM","Lower Box","133","36","7","74"
"06-02-25 / 03:19 PM","Lower Box","129","30","2","80"
"06-02-25 / 03:16 PM","Upper","318","3","4","39"
"06-02-25 / 03:01 PM","Field","142","16","5","74"
"06-02-25 / 02:42 PM","Field","117","1","0","107"
"06-02-25 / 02:42 PM","Field","142","1","3","107"
"06-02-25 / 02:16 PM","Lower Box","119","1","2","145"
"06-02-25 / 01:12 PM","Upper","330","11","2","26"
"06-02-25 / 12:29 PM","Lower Box","124","24","2","73"
"06-02-25 / 01:13 AM","Upper","327","13","2","24"
"06-01-25 / 10:43 PM","Lower Box","132","11","0","59"
"06-01-25 / 10:28 PM","Upper","321","3","6","35"
"06-01-25 / 09:11 PM","Lower Box","121","34","8","65"
"06-01-25 / 09:00 PM","Lower Box","119","13","7","66"
"06-01-25 / 08:09 PM","Terrace Club","242","5","10","63"
"06-01-25 / 07:56 PM","Upper","327","25","5","23"
"06-01-25 / 07:27 PM","Upper","326","24","10","23"
"06-01-25 / 07:13 PM","Lower Box","119","8","2","71"
"06-01-25 / 07:09 PM","Field","144","21","9","41"
"06-01-25 / 11:59 AM","Lower Box","127","29","10","70"
"05-31-25 / 11:03 PM","Upper","326","14","9","24"
"05-31-25 / 10:03 PM","Upper","340","11","11","22"
"05-31-25 / 08:12 PM","Field","112","8","8","52"
"05-31-25 / 07:46 PM","Left Field Bleachers","182","2","2","29"
"05-31-25 / 05:56 PM","Upper","316","12","2","29"
"05-31-25 / 03:55 PM","Lower Box","131","37","6","61"
"05-31-25 / 12:24 PM","Lower Box","119","17","0","68"
"05-31-25 / 11:18 AM","Field","115","29","2","38"
"05-31-25 / 02:41 AM","Terrace Club","216","8","8","61"
"05-30-25 / 10:15 PM","Field","150","24","4","41"
"05-30-25 / 04:09 PM","Upper","328","22","5","27"
"05-30-25 / 03:20 PM","Lower Box","128","36","8","62"
"05-30-25 / 02:16 AM","Upper","332","9","2","37"
"05-29-25 / 10:08 PM","Lower Box","122","7","0","158"
"05-29-25 / 03:19 PM","Upper","342","2","5","28"
"05-29-25 / 06:16 AM","All Star","13","1","2","270"
"05-28-25 / 06:10 PM","Lower Box","132","31","6","70"
"05-28-25 / 02:13 PM","Left Field Bleachers","186","1","4","32"
"05-28-25 / 12:09 AM","Lower Outfield","107","33","2","37"
"05-27-25 / 11:50 PM","Field","115","24","5","45"
"05-27-25 / 11:46 PM","Lower Outfield","106","28","2","48"
"05-27-25 / 06:39 PM","All Star","11","1","2","219"
"05-26-25 / 10:53 PM","Field","115","29","4","44"
"05-26-25 / 10:51 PM","Left Field Bleachers","184","3","8","29"
"05-26-25 / 07:02 PM","Upper","333","5","4","36"
"05-26-25 / 01:44 PM","Field","115","21","4","47"
"05-26-25 / 12:15 PM","Hit it Here Cafe - Outside Lower Counter","CAFLO","1","0","123"
"05-25-25 / 08:55 PM","Left Field Bleachers","182","1","4","35"
"05-25-25 / 02:46 AM","Terrace Club","233","4","0","72"
"05-24-25 / 06:25 PM","Lower Box","133","36","9","67"
"05-24-25 / 05:03 PM","Upper","320","10","2","35"
"05-24-25 / 02:25 PM","Field","146","13","6","50"
"05-24-25 / 11:29 AM","Upper","318","24","8","29"
"05-24-25 / 12:08 AM","Lower Box","126","33","7","70"
"05-23-25 / 05:15 PM","Upper","346","14","9","26"
"05-23-25 / 02:43 PM","Upper","315","1","9","35"
"05-23-25 / 11:30 AM","Upper","334","13","8","32"
"05-23-25 / 12:34 AM","Field","115","28","1","46"
"05-22-25 / 08:32 PM","Upper","321","2","6","45"
"05-22-25 / 12:20 AM","Field","115","21","2","40"
"05-21-25 / 05:01 PM","Lower Box","121","24","4","76"
"05-21-25 / 02:55 PM","Lower Box","138","30","2","56"
"05-21-25 / 01:42 PM","Diamond Club","33","8","2","494"
"05-21-25 / 12:55 PM","Field","117","12","5","75"
"05-21-25 / 12:40 AM","Lower Outfield","106","24","0","38"
"05-21-25 / 12:38 AM","Field","117","2","2","90"
"05-20-25 / 06:00 PM","Upper","330","13","4","33"
"05-20-25 / 04:04 PM","Upper","330","14","5","32"
"05-20-25 / 12:26 PM","Upper","330","11","2","33"
"05-20-25 / 11:26 AM","Field","143","19","6","62"
"05-20-25 / 02:11 AM","Field","146","40","4","43"
"05-19-25 / 10:40 PM","Field","115","26","2","53"
"05-19-25 / 10:06 PM","Left Field Bleachers","184","1","2","42"
"05-19-25 / 03:01 PM","Lower Outfield","106","40","0","94"
"05-19-25 / 01:40 PM","Field","112","3","2","75"
"05-18-25 / 09:37 AM","Upper","328","1","2","45"
"05-18-25 / 08:30 AM","Upper","334","12","2","27"
"05-18-25 / 02:16 AM","Field","115","36","5","40"
"05-17-25 / 10:02 PM","Lower Box","124","29","2","79"
"05-17-25 / 09:53 PM","Upper","325","11","5","32"
"05-16-25 / 11:53 PM","Terrace Club","217","1","2","95"
"05-16-25 / 11:04 PM","Lower Box","137","12","2","78"
"05-15-25 / 02:33 PM","Lower Outfield","109","26","2","45"
"05-15-25 / 01:58 PM","Lower Box","139","10","2","72"
"05-15-25 / 01:39 AM","Terrace Club","241","2","4","79"
"05-14-25 / 09:18 PM","Left Field Bleachers","184","1","2","41"
"05-13-25 / 10:07 PM","Upper","337","10","5","28"
"05-13-25 / 04:56 PM","Field","115","11","2","50"
"05-13-25 / 09:47 AM","Lower Box","125","27","0","70"
"05-13-25 / 01:29 AM","Upper","327","10","5","31"
"05-13-25 / 12:52 AM","Left Field Bleachers","181","1","0","60"
"05-12-25 / 08:52 PM","Lower Outfield","106","24","0","46"
"05-12-25 / 06:09 PM","Lower Outfield","107","23","2","41"
"05-12-25 / 12:59 PM","Lower Box","139","9","2","93"
"05-12-25 / 01:59 AM","Field","117","7","5","77"
"05-12-25 / 01:44 AM","Left Field Bleachers","181","1","2","25"
"05-12-25 / 12:37 AM","Lower Box","139","5","2","108"
